ID,GeneID,geneSymbol,chr,strand,exonStart_0base,exonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,Event_Type
7742,ENSMUSG00000004562.16,Arhgef40,chr14,+,51986931,51987222,51985304,51985426,51987402,51987467,7742,"2,0,0","1,1,1","1,3,1","0,1,0",390,99,2.66E-05,0.008903736,"0.337,0.0,0.0","1.0,0.432,1.0",-0.698,SE
8005,ENSMUSG00000030309.16,Caprin2,chr6,-,148868988,148869645,148865829,148865952,148870612,148870656,8005,"31,23,23","2,1,4","18,20,23","1,0,0",756,99,9.22E-06,0.004130784,"0.67,0.751,0.43","0.702,1.0,1.0",-0.284,SE
8112,ENSMUSG00000027589.14,Pcmtd2,chr2,+,181842374,181842705,181837853,181837984,181844395,181844498,8112,"137,152,169","1,0,1","125,133,117","6,1,9",430,99,5.01E-06,0.003218701,"0.969,1.0,0.975","0.827,0.968,0.75",0.133,SE
8405,ENSMUSG00000023033.14,Scn8a,chr15,+,101024260,101024383,101018350,101018524,101029577,101029862,8405,"447,513,523","12,9,1","480,659,513","0,2,1",222,99,0.000330342,0.046574695,"0.943,0.962,0.996","1.0,0.993,0.996",-0.029,SE
8416,ENSMUSG00000110234.2,Gm45799,chr7,+,105674150,105674288,105673819,105674044,105674419,105674471,8416,"5,9,3","1,1,0","2,4,0","1,1,2",237,99,0.00034668,0.048033334,"0.676,0.79,1.0","0.455,0.626,0.0",0.462,SE
8443,ENSMUSG00000030313.15,Dennd5b,chr6,-,149084870,149084936,149080805,149080915,149101182,149101584,8443,"3,1,4","56,51,61","13,11,19","53,50,46",165,99,6.09E-08,0.000109943,"0.031,0.012,0.038","0.128,0.117,0.199",-0.121,SE
8526,ENSMUSG00000025085.16,Ablim1,chr19,-,57059084,57059204,57044880,57044972,57061252,57061382,8526,"12,10,8","2,3,2","25,20,24","0,0,2",219,99,0.000206855,0.034994551,"0.731,0.601,0.644","1.0,1.0,0.844",-0.289,SE
8891,ENSMUSG00000032743.15,D430042O09Rik,chr7,+,125728308,125728364,125707990,125708080,125752972,125753049,8891,"5,7,8","0,0,0","7,7,8","3,1,2",155,99,0.000209355,0.035236205,"1.0,1.0,1.0","0.598,0.817,0.719",0.289,SE
9029,ENSMUSG00000031860.17,Pbx4,chr8,+,69864311,69864550,69859079,69859153,69864823,69865014,9029,"4,2,2","0,0,0","4,1,3","2,3,1",338,99,1.09E-08,3.16E-05,"1.0,1.0,1.0","0.369,0.089,0.468",0.691,SE
9057,ENSMUSG00000037259.15,Dzank1,chr2,-,144502917,144503034,144491771,144491897,144504339,144504457,9057,"0,1,1","1,2,0","1,2,4","0,1,1",216,99,0.000116625,0.023178285,"0.0,0.186,1.0","1.0,0.478,0.647",-0.313,SE
9230,ENSMUSG00000052525.14,Spdya,chr17,+,71569016,71569188,71552060,71552141,71578101,71578393,9230,"4,6,2","0,0,0","0,1,6","2,2,0",271,99,3.52E-05,0.010851054,"1.0,1.0,1.0","0.0,0.154,1.0",0.615,SE
9382,ENSMUSG00000016624.15,Phf21b,chr15,-,84793895,84793918,84791782,84791941,84795079,84795134,9382,"14,8,13","5,4,0","4,11,4","0,0,1",122,99,0.000237811,0.037864838,"0.694,0.619,1.0","1.0,1.0,0.764",-0.15,SE
9914,ENSMUSG00000021843.17,Ktn1,chr14,+,47704419,47704488,47704186,47704277,47705762,47705800,9914,"56,51,43","153,134,146","79,84,76","121,132,122",168,99,3.75E-05,0.011018198,"0.177,0.183,0.148","0.278,0.273,0.269",-0.104,SE
10066,ENSMUSG00000028064.17,Sema4a,chr3,-,88455079,88455192,88454678,88454846,88461146,88461182,10066,"1,0,0","4,1,1","2,2,4","4,3,0",212,99,0.000318802,0.046275102,"0.105,0.0,0.0","0.189,0.237,1.0",-0.44,SE
10169,ENSMUSG00000049985.15,Ankrd55,chr13,+,112363414,112363582,112355905,112356090,112367683,112368348,10169,"5,6,6","2,1,2","4,5,6","1,0,0",267,99,0.00036415,0.049638306,"0.481,0.69,0.527","0.597,1.0,1.0",-0.3,SE
10201,ENSMUSG00000028106.13,Rprd2,chr3,-,95786319,95786451,95785053,95785106,95787283,95787384,10201,"52,70,50","0,1,0","40,42,44","1,4,4",231,99,0.000140105,0.026414352,"1.0,0.968,1.0","0.945,0.818,0.825",0.127,SE
10390,ENSMUSG00000013523.13,Bcas1,chr2,-,170366363,170366528,170356247,170356313,170378722,170378929,10390,"72,62,53","54,54,51","129,169,154","59,92,54",264,99,0.000133674,0.025583808,"0.333,0.301,0.28","0.451,0.408,0.517",-0.154,SE
10660,ENSMUSG00000038533.15,Cbfa2t2,chr2,+,154500399,154500543,154436480,154436636,154504552,154504777,10660,"44,79,70","0,0,1","68,84,44","2,2,6",243,99,0.000192625,0.03317972,"1.0,1.0,0.966","0.933,0.945,0.749",0.113,SE
10705,ENSMUSG00000021047.7,Nova1,chr12,-,46713497,46713569,46694516,46700973,46720689,46720856,10705,"110,167,154","6,13,5","138,166,111","1,1,4",171,99,0.000246533,0.038648244,"0.914,0.881,0.947","0.988,0.99,0.941",-0.059,SE
10708,ENSMUSG00000109780.1,Gm45447,chr2,+,161112103,161112319,161109410,161109828,161113687,161114858,10708,"6,12,15","1,4,3","10,19,13","0,1,0",315,99,6.78E-06,0.003338883,"0.653,0.485,0.611","1.0,0.857,1.0",-0.369,SE
10812,ENSMUSG00000006127.9,Inpp5k,chr11,+,75647192,75647276,75639136,75639565,75647401,75647506,10812,"36,59,51","0,0,0","40,44,46","4,6,0",183,99,3.57E-05,0.010899467,"1.0,1.0,1.0","0.844,0.799,1.0",0.119,SE
10825,ENSMUSG00000038005.15,Hpf1,chr8,+,60896737,60896836,60890444,60890536,60905547,60905720,10825,"1,0,0","2,1,1","1,3,3","1,2,2",198,99,0.000177045,0.031205221,"0.2,0.0,0.0","0.333,0.429,0.429",-0.33,SE
11297,ENSMUSG00000006958.13,Chrd,chr16,+,20736263,20736442,20735745,20735893,20736908,20737065,11297,"8,5,6","0,0,0","4,6,9","0,1,5",278,99,0.00028608,0.043191288,"1.0,1.0,1.0","1.0,0.681,0.391",0.309,SE
11523,ENSMUSG00000030583.16,Sipa1l3,chr7,-,29331947,29332043,29331297,29331544,29332224,29332390,11523,"3,0,5","4,4,5","0,0,0","3,2,5",195,99,8.63E-05,0.019610328,"0.276,0.0,0.337","0.0,0.0,0.0",0.204,SE
11568,ENSMUSG00000020827.18,Mink1,chr11,+,70608588,70608699,70608340,70608426,70608839,70608958,11568,"4,7,6","173,158,186","20,20,17","175,234,183",210,99,3.39E-05,0.010628163,"0.011,0.02,0.015","0.051,0.039,0.042",-0.029,SE
11628,ENSMUSG00000042446.16,Zmym4,chr4,-,126907085,126907236,126906520,126906636,126910789,126911002,11628,"141,122,132","8,7,4","113,113,114","0,0,1",250,99,1.31E-06,0.001213103,"0.875,0.873,0.929","1.0,1.0,0.978",-0.1,SE
11693,ENSMUSG00000044876.15,Zfp444,chr7,+,6173981,6174101,6172512,6172574,6183789,6184202,11693,"7,4,10","2,3,2","7,3,10","0,0,1",219,99,6.52E-06,0.003338883,"0.613,0.376,0.693","1.0,1.0,0.819",-0.379,SE
11749,ENSMUSG00000038215.15,Cep44,chr8,-,56550062,56550121,56547387,56547524,56550687,56550799,11749,"3,2,3","2,2,0","0,1,0","3,2,4",158,99,6.01E-06,0.003338883,"0.485,0.385,1.0","0.0,0.239,0.0",0.544,SE
11952,ENSMUSG00000020014.17,Cfap54,chr10,-,93035418,93035553,93034670,93034821,93037813,93037896,11952,"32,32,30","0,0,1","17,29,26","2,1,5",234,99,0.000102674,0.021496263,"1.0,1.0,0.927","0.782,0.925,0.688",0.177,SE
11964,ENSMUSG00000024818.14,Slc25a45,chr19,+,5878606,5878691,5877825,5878095,5879848,5879892,11964,"1,4,5","2,2,1","3,12,5","0,1,0",184,99,0.000190282,0.032925671,"0.212,0.518,0.729","1.0,0.866,1.0",-0.469,SE
12444,ENSMUSG00000027160.16,Ccdc34,chr2,+,110037404,110037534,110032331,110032439,110038079,110038276,12444,"0,5,2","2,4,3","3,4,1","0,0,0",229,99,2.22E-12,1.40E-08,"0.0,0.351,0.224","1.0,1.0,1.0",-0.808,SE
12445,ENSMUSG00000027160.16,Ccdc34,chr2,+,110038079,110038276,110032331,110032439,110040573,110040732,12445,"7,10,12","9,20,12","2,7,4","36,33,26",296,99,9.25E-06,0.004130784,"0.206,0.143,0.251","0.018,0.066,0.049",0.156,SE
12505,ENSMUSG00000072653.13,Zfp783,chr6,+,47945882,47945962,47945428,47945751,47948893,47949019,12505,"11,8,8","0,14,5","10,13,4","0,0,0",179,99,7.05E-07,0.000741805,"1.0,0.24,0.469","1.0,1.0,1.0",-0.43,SE
12506,ENSMUSG00000072653.13,Zfp783,chr6,+,47946661,47946790,47945465,47945751,47948893,47948985,12506,"3,5,2","0,14,5","1,1,5","0,0,0",228,99,1.47E-07,0.000222331,"1.0,0.134,0.148","1.0,1.0,1.0",-0.573,SE
12605,ENSMUSG00000030555.16,Ttc23,chr7,+,67662326,67662526,67647409,67647845,67667162,67667286,12605,"8,12,10","1,0,1","10,9,7","2,3,4",299,99,0.000164987,0.029914728,"0.726,1.0,0.768","0.623,0.498,0.367",0.335,SE
12802,ENSMUSG00000048668.16,Rhno1,chr6,-,128362057,128362184,128359105,128359354,128362367,128362812,12802,"7,3,9","3,2,9","0,0,2","23,9,11",226,99,2.04E-09,7.02E-06,"0.505,0.397,0.305","0.0,0.0,0.074",0.378,SE
12808,ENSMUSG00000042790.16,Rnf214,chr9,-,45900210,45900256,45898431,45898491,45906737,45906869,12808,"4,3,4","0,0,0","4,1,5","3,0,3",145,99,9.36E-05,0.020263463,"1.0,1.0,1.0","0.477,1.0,0.532",0.33,SE
12810,ENSMUSG00000042790.16,Rnf214,chr9,-,45904805,45904919,45898431,45898491,45906737,45906869,12810,"8,2,10","0,0,0","6,9,7","3,0,3",213,99,0.000143244,0.026872378,"1.0,1.0,1.0","0.482,1.0,0.52",0.333,SE
12849,ENSMUSG00000021065.16,Fut8,chr12,+,77278943,77279032,77277360,77277455,77331895,77332329,12849,"0,0,1","9,10,11","2,3,5","17,10,10",188,99,0.000326293,0.046574695,"0.0,0.0,0.046","0.058,0.136,0.208",-0.119,SE
12862,ENSMUSG00000003464.13,Pex19,chr1,+,172128630,172128740,172126754,172126848,172129154,172129320,12862,"329,334,347","4,26,3","379,466,353","2,4,2",209,99,6.24E-06,0.003338883,"0.975,0.859,0.982","0.989,0.982,0.988",-0.048,SE
12889,ENSMUSG00000022587.14,Ly6e,chr15,+,74957414,74957463,74955566,74955717,74957776,74957877,12889,"0,4,5","113,112,161","11,15,13","151,156,110",148,99,1.11E-05,0.004568545,"0.0,0.023,0.02","0.046,0.06,0.073",-0.045,SE
12890,ENSMUSG00000022587.14,Ly6e,chr15,+,74957414,74957463,74955566,74955717,74957779,74957877,12890,"0,2,2","67,77,73","3,10,10","93,121,44",148,99,0.000116824,0.023178285,"0.0,0.017,0.018","0.021,0.052,0.132",-0.057,SE
13376,ENSMUSG00000022477.12,Aco2,chr15,+,81895169,81895428,81872308,81872548,81903475,81903634,13376,"3,6,3","1,0,0","4,2,0","1,2,1",358,99,9.42E-06,0.004130784,"0.453,1.0,1.0","0.525,0.217,0.0",0.57,SE
13570,ENSMUSG00000097585.2,E230029C05Rik,chr7,+,90005067,90005161,89987062,89987143,90011173,90011276,13570,"2,3,6","0,0,0","1,0,2","0,2,2",193,99,4.17E-05,0.011637771,"1.0,1.0,1.0","1.0,0.0,0.339",0.554,SE
13706,ENSMUSG00000038957.13,Edc3,chr9,+,57715947,57716267,57713380,57713561,57727185,57727521,13706,"37,46,48","0,1,0","32,50,24","5,3,2",419,99,5.63E-06,0.003331446,"1.0,0.916,1.0","0.602,0.797,0.739",0.259,SE
13743,ENSMUSG00000044349.15,Snhg11,chr2,+,158376732,158376824,158376080,158376326,158376993,158377072,13743,"9,16,15","560,543,619","63,38,72","496,438,453",191,99,0,0,"0.008,0.015,0.012","0.062,0.043,0.076",-0.049,SE
13744,ENSMUSG00000044349.15,Snhg11,chr2,+,158376744,158376824,158376080,158376326,158376993,158377072,13744,"17,34,31","560,543,619","143,81,162","496,438,453",179,99,0,0,"0.017,0.033,0.027","0.138,0.093,0.165",-0.106,SE
13891,ENSMUSG00000015501.10,Hivep2,chr10,+,14117518,14117600,14066582,14066684,14126451,14126496,13891,"42,7,3","223,266,217","41,8,65","198,212,175",181,99,1.40E-05,0.005518064,"0.093,0.014,0.008","0.102,0.02,0.169",-0.059,SE
13993,ENSMUSG00000020955.9,Ap4s1,chr12,+,51722979,51723048,51720635,51720722,51730887,51730899,13993,"218,282,221","24,18,16","212,300,222","7,11,6",168,99,0.000180127,0.031455874,"0.843,0.902,0.891","0.947,0.941,0.956",-0.069,SE
14302,ENSMUSG00000029428.13,Stx2,chr5,-,128987717,128987842,128984556,128986430,128988801,128988912,14302,"30,32,29","3,0,2","22,27,32","12,5,6",224,99,0.000287706,0.043264342,"0.815,1.0,0.865","0.448,0.705,0.702",0.275,SE
14550,ENSMUSG00000037110.20,Ralgapa2,chr2,-,146327377,146327536,146314922,146315050,146333415,146333571,14550,"59,63,65","2,0,0","51,45,29","2,2,5",258,99,0.000327212,0.046574695,"0.919,1.0,1.0","0.907,0.896,0.69",0.142,SE
14600,ENSMUSG00000030748.9,Il4ra,chr7,+,125571933,125572047,125571433,125571590,125572850,125572950,14600,"0,1,0","10,8,7","5,1,6","13,12,6",213,99,9.54E-05,0.020479259,"0.0,0.055,0.0","0.152,0.037,0.317",-0.15,SE
15022,ENSMUSG00000028580.15,Pum1,chr4,+,130730277,130730548,130701041,130701110,130741462,130741556,15022,"121,116,145","2,0,2","111,120,102","9,9,4",370,99,6.66E-06,0.003338883,"0.942,1.0,0.951","0.767,0.781,0.872",0.158,SE
15464,ENSMUSG00000022160.18,Mettl3,chr14,-,52298639,52298736,52298024,52298085,52299700,52299819,15464,"27,27,27","11,13,20","48,41,31","3,4,6",196,99,3.99E-06,0.002749328,"0.554,0.512,0.405","0.89,0.838,0.723",-0.327,SE
15465,ENSMUSG00000022160.18,Mettl3,chr14,-,52298639,52298815,52297868,52298085,52299700,52299819,15465,"66,76,73","11,13,20","80,86,78","3,4,6",275,99,1.33E-05,0.005322347,"0.684,0.678,0.568","0.906,0.886,0.824",-0.229,SE
15568,ENSMUSG00000086370.8,Ftx,chrX,-,103613043,103613195,103609303,103609416,103623546,103623663,15568,"3,11,3","0,0,0","6,2,6","0,2,5",251,99,1.69E-05,0.006295833,"1.0,1.0,1.0","1.0,0.283,0.321",0.465,SE
